Sums,Percent,,,,, 3x3 Grid Values,,,,
"249,858,867",91.21%,154828249,1270129,93760489,44182609,83286289,122389969,72812089,165302449,11744329
"272,058,048",91.21%,168584256,1382976,102090816,48108096,90686016,133263936,79281216,179989056,12787776
"277,846,875",98.82%,138650625,8208225,130988025,88228449,92615625,97002801,54243225,177023025,46580625
"285,449,043",91.28%,162537001,15768841,107143201,64657681,95149681,125641681,83156161,174530521,27762361
"291,553,587",99.19%,187881849,1520289,102151449,13816089,97184529,180552969,92217609,192848769,6487209
"295,201,875",99.96%,182925625,1500625,110775625,26368225,98400625,170433025,86025625,195300625,13875625
"298,945,227",99.44%,156825529,24078649,116359369,59182249,99648409,140114569,82937449,175218169,42471289
"316,128,000",98.09%,157753600,9339136,149035264,90630400,105376000,120121600,61716736,201412864,52998400
"319,290,348",98.01%,197852356,1623076,119814916,22033636,106430116,190826596,93045316,211237156,15007876
"327,733,803",96.97%,205893801,2134521,119705481,13111641,109244601,205377561,98783721,216354681,12595401
"339,707,952",91.28%,193432464,18766224,127509264,76947984,113235984,149523984,98962704,207705744,33039504
"344,323,467",91.21%,213364449,1750329,129208689,60886809,114774489,168662169,100340289,227798649,16184529
"356,878,875",99.17%,178089025,10543009,168246841,106151809,118959625,131767441,69672409,227376241,59830225
"359,942,700",99.19%,231952900,1876900,126112900,17056900,119980900,222904900,113848900,238084900,8008900
"370,301,232",91.21%,229461904,1882384,138956944,65480464,123433744,181387024,107910544,244985104,17405584
"384,532,707",99.76%,239847169,5987809,138697729,27952369,128177569,228402769,117657409,250367329,16507969
"390,459,072",99.44%,204833344,31449664,151979584,77299264,130153024,183006784,108326464,228856384,55472704
"397,223,643",96.22%,262796521,395641,149059681,18671041,132407881,246144721,115756081,264420121,2019241
"398,685,027",99.38%,243765769,2798929,149646289,38775529,132895009,227014489,116143729,262991089,22024249
"400,099,500",98.09%,199656900,11819844,188622756,114704100,133366500,152028900,78110244,254913156,67076100
"425,090,700",99.96%,263412900,2160900,159516900,37970244,141696900,245423556,123876900,281232900,19980900
"435,530,667",99.19%,280663009,2271049,152596609,20638849,145176889,269714929,137757169,288082729,9690769
"445,789,875",98.09%,222457225,13169641,210163009,127803025,148596625,169390225,87030241,284023609,74736025
"453,902,403",91.21%,281266441,2307361,170328601,80263681,151300801,222337921,132273001,300294241,21335161
"462,380,268",91.28%,263283076,25542916,173554276,104734756,154126756,203518756,134699236,282710596,44970436
"483,658,752",91.21%,299705344,2458624,181494784,85525504,161219584,236913664,140944384,319980544,22733824
"489,353,772",99.24%,280294564,23406244,189392644,72216004,163117924,254019844,136843204,302829604,45941284
"493,950,000",98.82%,246490000,14592400,232867600,156850576,164650000,172449424,96432400,314707600,82810000
"494,174,763",99.44%,259242201,39803481,192349161,97831881,164724921,231617961,137100681,289646361,70207641
"514,359,747",91.21%,318729609,2614689,193015449,90954369,171453249,251952129,149891049,340291809,24176889
"518,317,488",99.19%,334012176,2702736,181602576,24561936,172772496,320983056,163942416,342842256,11532816
"530,793,675",99.09%,324540225,2187441,199233225,51624225,176931225,302238225,154629225,351675009,29322225
"538,748,523",84.25%,348531561,25281,190191681,106069401,179582841,253096281,168974001,359140401,10634121
"544,579,875",98.09%,271755225,16088121,256736529,156125025,181526625,206928225,106316721,346965129,91298025
"546,005,388",99.31%,338339236,2775556,204890596,44809636,182001796,319193956,159112996,361228036,25664356
"578,595,675",99.96%,358534225,2941225,217120225,51681721,192865225,334048729,168610225,382789225,27196225
"582,637,872",96.97%,366033424,3794704,212809744,23309584,194212624,365115664,175615504,384630544,22391824
"595,368,723",97.95%,291419041,68541841,223173721,130210921,198456241,266701561,173738761,328370641,105493441
"597,679,500",98.09%,298252900,17656804,281769796,171348100,199226500,227104900,116683204,380796196,100200100
"598,989,747",99.28%,321233929,405769,281669089,160098409,199663249,239228089,117657409,398920729,78092569
"603,925,248",91.28%,343879936,33362176,226683136,136796416,201308416,265820416,175933696,369254656,58736896
"608,303,163",99.19%,392000401,3171961,213130801,28826161,202767721,376709281,192404641,402363481,13535041
"610,092,300",99.63%,320052100,1833316,285948100,169260100,203364100,237468100,120780100,404894884,86676100
"612,130,608",91.21%,379314576,3111696,229704336,108243216,204043536,299843856,178382736,404975376,28772496
"646,610,187",99.16%,400680289,3286969,242642929,62932489,215536729,368140969,188430529,427786489,30393169
"653,248,875",98.09%,325983025,19298449,307967401,187279225,217749625,248220025,127531849,416200801,109516225
"681,774,987",99.84%,416853889,7912969,255904009,66308449,227258329,388208209,198612649,446603689,37662769
"682,034,412",91.21%,422631364,3467044,255936004,120604324,227344804,334085284,198753604,451222564,32058244
"684,705,675",99.64%,330694225,61136761,290395681,187936681,228235225,268533769,166074769,395333689,125776225
"705,487,692",99.19%,454627684,3678724,247181284,33431524,235162564,436893604,223143844,466646404,15697444
"711,288,000",98.09%,354945600,21013056,335329344,203918400,237096000,270273600,138862656,453178944,119246400
"718,403,283",98.01%,445167801,3651921,269583561,49575681,239467761,429359841,209351961,475283601,33767721
"738,211,683",99.44%,387263041,59459521,287336401,146143921,246070561,345997201,204804721,432681601,104878081
"755,716,800",99.96%,468289600,3841600,283585600,67502656,251905600,436308544,220225600,499969600,35521600
"764,342,892",91.28%,435223044,42224004,286895844,173132964,254780964,336428964,222666084,467337924,74338884
"771,796,875",98.82%,385140625,22800625,363855625,245079025,257265625,269452225,150675625,491730625,129390625
"793,974,963",97.69%,491996761,4036081,297942121,52287361,264658321,477029281,231374521,525280561,37319881
"796,609,875",97.92%,383572225,41203561,371834089,237190801,265536625,293882449,159239161,489869689,147501025
"809,871,075",99.19%,521894025,4223025,283754025,38378025,269957025,501536025,256160025,535691025,18020025
"833,177,772",91.21%,516289284,4235364,312653124,147331044,277725924,408120804,242798724,551216484,39162564
"834,775,500",98.09%,416568100,24661156,393546244,239320900,278258500,317196100,162970756,531855844,139948900
"851,628,963",91.28%,484924441,47045881,319658641,192904321,283876321,374848321,248094001,520706761,82828201
"873,325,227",91.21%,541167169,4439449,327718609,154430329,291108409,427786489,254498209,577777369,41049649
"877,773,900",99.96%,471845284,81180100,324360100,145106116,292591300,440076484,260822500,504002500,113337316
"878,532,912",99.44%,460875024,70761744,341954064,173923344,292844304,411765264,243734544,514926864,124813584
